t,S,I,R,cenario
225.61813186813185,176730.17523183677,85.3988778570646,1430243.425890306,COVID-19
226.62087912087912,176727.91786358078,79.445261074139,1430251.636875345,COVID-19
227.62362637362637,176725.81792705393,73.90677643638844,1430259.2752965095,COVID-19
228.62637362637363,176723.8614897336,68.74672316703328,1430266.3917870994,COVID-19
229.62912087912088,176722.03542346376,63.93051603627366,1430273.0340604999,COVID-19
230.63186813186812,176720.3330619828,59.44054141240354,1430279.2263966047,COVID-19
231.6346153846154,176718.74838368,55.26090578364241,1430284.9907105363,COVID-19
232.63736263736263,176717.2744442102,51.37329993026981,1430290.3522558594,COVID-19
233.6401098901099,176715.90447837798,47.75988698364628,1430295.3356346383,COVID-19
234.64285714285714,176714.63190013796,44.40330242621424,1430299.9647974356,COVID-19
235.64560439560438,176713.4503025947,41.28665409149722,1430304.2630433138,COVID-19
236.64835164835165,176712.3534580026,38.39352216410022,1430308.2530198332,COVID-19
237.6510989010989,176711.335317766,35.70795917970994,1430311.9567230542,COVID-19
238.65384615384616,176710.39001243925,33.214490025094186,1430315.3954975356,COVID-19
239.6565934065934,176709.51185172657,30.898111938102517,1430318.5900363352,COVID-19
240.65934065934067,176708.69532448205,28.744294507665657,1430321.5603810102,COVID-19
241.6620879120879,176707.9350987098,26.738979673796017,1430324.3259216163,COVID-19
242.66483516483515,176707.22602156378,24.868581727587262,1430326.9053967085,COVID-19
243.66758241758242,176706.5643312411,23.123178269311374,1430329.3124904896,COVID-19
244.67032967032966,176705.94815969598,21.49783674302521,1430331.554003561,COVID-19
245.67307692307693,176705.37486474388,19.985588483603976,1430333.6395467725,COVID-19
246.67582417582418,176704.84186375738,18.57962194803442,1430335.5785142945,COVID-19
247.67857142857142,176704.34664179993,17.27330412601622,1430337.380054074,COVID-19
248.6813186813187,176703.88675162595,16.06018053996216,1430339.0530678341,COVID-19
249.68406593406593,176703.45981368076,14.933975244998203,1430340.6062110742,COVID-19
250.6868131868132,176703.06351610052,13.888590828963236,1430342.0478930704,COVID-19
251.68956043956044,176702.6956147124,12.918108412409362,1430343.3862768752,COVID-19
252.69230769230768,176702.35393303438,12.016787648601673,1430344.6292793169,COVID-19
253.69505494505495,176702.03636227542,11.17906672351833,1430345.784571001,COVID-19
254.6978021978022,176701.74086133536,10.399562355850655,1430346.8595763089,COVID-19
255.70054945054946,176701.46545680493,9.673069797002949,1430347.861473398,COVID-19
256.7032967032967,176701.20837310032,8.994905868252443,1430348.7967210314,COVID-19
257.70604395604397,176700.96881182244,8.362963654676411,1430349.6682245228,COVID-19
258.7087912087912,176700.74584720534,7.774801006796353,1430350.4793517878,COVID-19
259.71153846153845,176700.5384933208,7.227817262229543,1430351.233689417,COVID-19
260.7142857142857,176700.3457898156,6.719479220038084,1430351.9347309645,COVID-19
261.717032967033,176700.1668019115,6.247321140728772,1430352.5858769477,COVID-19
262.7197802197802,176700.00062040522,5.808944746253154,1430353.1904348487,COVID-19
263.7225274725275,176699.84636166855,5.402019220007434,1430353.7516191115,COVID-19
264.72527472527474,176699.70316764823,5.024281206832617,1430354.272551145,COVID-19
265.72802197802196,176699.57020586604,4.673534813014431,1430354.756259321,COVID-19
266.7307692307692,176699.44666941868,4.347651606283272,1430355.205678975,COVID-19
267.7335164835165,176699.3317769779,4.044570615814327,1430355.6236524063,COVID-19
268.7362637362637,176699.22477279048,3.7622983322275028,1430356.0129288773,COVID-19
269.739010989011,176699.12492877097,3.4989142269496694,1430356.376157002,COVID-19
270.74175824175825,176699.03180168665,3.253249024193691,1430356.714949289,COVID-19
271.7445054945055,176698.9450968493,3.0245252824508038,1430357.030377868,COVID-19
272.74725274725273,176698.8644379042,2.8117502133104777,1430357.3238118824,COVID-19
273.75,176698.78945815904,2.613956516427572,1430357.5965853245,COVID-19
274.75274725274727,176698.71980058352,2.430202379522413,1430357.8499970369,COVID-19
275.7554945054945,176698.65511780969,2.2595714783807495,1430358.0853107118,COVID-19
276.75824175824175,176698.5950721318,2.101172976853733,1430358.3037548913,COVID-19
277.760989010989,176698.53933550627,1.9541415268579687,1430358.5065229668,COVID-19
278.76373626373623,176698.4875895518,1.8176372683754907,1430358.6947731797,COVID-19
279.7664835164835,176698.4395255493,1.6908458294537356,1430358.8696286213,COVID-19
280.7692307692308,176698.39484444185,1.5729783262055916,1430359.032177232,COVID-19
281.77197802197804,176698.35325683482,1.4632713628093699,1430359.1834718024,COVID-19
282.77472527472526,176698.31448299575,1.360987031508813,1430359.3245299726,COVID-19
283.7774725274725,176698.2782904369,1.2655120442361294,1430359.4561975189,COVID-19
284.7802197802198,176698.24457762385,1.1765785388929924,1430359.5788438371,COVID-19
285.782967032967,176698.2132055253,1.0938197558575267,1430359.6929747188,COVID-19
286.7857142857143,176698.18403414305,1.016866386418842,1430359.7990994705,COVID-19
287.78846153846155,176698.15692712902,0.9453587504388214,1430359.8977141206,COVID-19
288.79120879120876,176698.13175178505,0.8789467963521043,1430359.9893014187,COVID-19
289.79395604395603,176698.10837906302,0.8172901011660769,1430360.0743308358,COVID-19
290.7967032967033,176698.08668356488,0.7600578704608962,1430360.1532585646,COVID-19
291.79945054945057,176698.0665435425,0.7069289383894731,1430360.226527519,COVID-19
292.8021978021978,176698.04784089778,0.6575917676774796,1430360.2945673345,COVID-19
293.80494505494505,176698.03046118273,0.611744449623338,1430360.3577943677,COVID-19
294.8076923076923,176698.01429359926,0.5690947040982367,1430360.4166116966,COVID-19
295.81043956043953,176697.99923099935,0.5293598795461222,1430360.471409121,COVID-19
296.8131868131868,176697.9851723081,0.49227334483740265,1430360.522554347,COVID-19
297.8159340659341,176697.97206578578,0.45769860975844284,1430360.5702356044,COVID-19
298.81868131868134,176697.95986517594,0.4255136501994523,1430360.6146211738,COVID-19
299.82142857142856,176697.948517038,0.39557749118130014,1430360.655905471,COVID-19
300.8241758241758,176697.93796930969,0.36775279414103956,1430360.6942778963,COVID-19
301.8269230769231,176697.9281713074,0.3419058569319179,1430360.7299228357,COVID-19
302.8296703296703,176697.91907372588,0.31790661382337104,1430360.7630196603,COVID-19
303.8324175824176,176697.91062863846,0.29562863550102003,1430360.793742726,COVID-19
304.83516483516485,176697.90278949693,0.274949129066679,1430360.822261374,COVID-19
305.83791208791206,176697.89551113156,0.25574893803835064,1430360.8487399304,COVID-19
306.84065934065933,176697.8887497511,0.23791254235022374,1430360.8733377066,COVID-19
307.8434065934066,176697.88246294274,0.22132805835267927,1430360.896208999,COVID-19
308.84615384615387,176697.87660967233,0.20588723881228616,1430360.917503089,COVID-19
309.8489010989011,176697.87115028402,0.19148547291180307,1430360.9373642432,COVID-19
310.85164835164835,176697.86605566787,0.17804596911740528,1430360.9558983631,COVID-19
311.8543956043956,176697.86131146344,0.16553084454713324,1430360.9731576922,COVID-19
312.85714285714283,176697.85689734874,0.15388649033677573,1430360.989216161,COVID-19
313.8598901098901,176697.85279345003,0.14306047975406755,1430361.0041460702,COVID-19
